Timestamp,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
4/22/2021 17:42:14,4,2,6,8,3,7,10,2,1,5,3,7,9,5,3,6,3,5,8,4
4/22/2021 17:51:11,7,4,10,2,1,7,6,5,2,3,4,8,1,7,3,5,3,8,5,8
4/22/2021 17:52:02,6,2,3,4,1,10,3,8,5,4,1,10,2,9,3,6,4,7,8,2
4/22/2021 21:05:24,4,9,2,7,1,10,7,5,2,4,2,8,6,7,10,1,7,3,4,8
4/22/2021 21:06:25,2,3,7,10,5,6,7,3,8,9,4,6,2,5,6,3,7,1,10,8
4/22/2021 21:06:59,5,3,9,1,10,2,6,3,5,9,7,8,3,6,5,1,10,3,4,8
4/22/2021 21:07:49,1,5,3,6,9,8,3,5,7,6,10,1,8,7,4,8,6,6,7,3
4/22/2021 21:08:25,6,3,9,1,10,9,2,5,4,3,7,6,8,1,7,6,3,10,5,6
4/22/2021 21:11:43,2,7,4,10,2,4,6,1,4,4,8,2,6,8,5,3,7,10,10,3
4/22/2021 21:12:25,2,4,10,5,7,2,6,4,8,2,9,1,5,7,2,9,4,6,10,2
4/23/2021 11:20:14,9,4,9,1,6,10,3,10,4,7,6,2,10,3,9,3,7,7,4,7
4/24/2021 20:45:49,6,4,8,2,5,6,1,9,4,7,6,9,4,3,2,4,5,9,10,6
4/25/2021 12:23:52,5,7,2,4,10,7,3,1,9,6,1,2,3,4,5,6,7,8,10,4
4/25/2021 12:39:05,7,5,4,3,6,5,2,6,7,10,5,4,3,6,9,7,6,2,2,8
4/25/2021 12:39:53,3,6,9,1,4,3,6,8,1,2,10,3,5,3,3,6,1,9,4,9
4/26/2021 11:19:38,7,3,6,4,2,5,1,7,7,8,7,6,9,10,3,1,2,4,9,6
4/26/2021 11:20:13,5,5,4,6,2,7,10,1,9,2,6,4,5,5,7,7,7,8,9,1
4/26/2021 11:20:54,4,10,7,8,2,1,3,7,6,5,8,5,9,10,1,10,7,3,4,5
4/26/2021 11:21:16,8,3,4,9,5,10,3,7,9,1,4,5,5,5,8,7,9,9,8,2
4/26/2021 11:22:50,8,4,7,3,6,9,2,6,4,9,6,9,2,1,5,6,3,2,9,7
4/26/2021 11:23:33,6,9,4,2,3,7,4,9,3,1,8,7,5,8,3,1,7,9,6,10
4/26/2021 11:52:47,8,5,2,10,1,6,9,4,3,2,7,10,9,6,5,9,4,8,1,9
4/26/2021 11:54:09,3,7,6,4,1,9,8,3,10,8,3,4,6,3,2,9,3,7,4,6
4/26/2021 12:27:59,4,5,8,7,2,9,3,7,10,1,6,8,4,9,4,8,4,5,2,9
4/26/2021 14:16:09,7,3,5,6,10,1,2,9,6,3,9,1,4,6,3,9,7,4,6,4
4/26/2021 14:16:47,8,5,4,4,9,3,6,2,1,8,4,7,4,8,7,3,1,6,5,10
4/26/2021 15:34:26,7,2,8,9,5,5,6,1,7,3,1,3,4,2,10,9,6,9,4,3
4/26/2021 15:34:56,1,9,7,3,10,2,6,5,4,8,4,5,2,9,7,3,5,1,10,9
4/26/2021 15:36:17,6,3,7,2,8,3,1,10,9,5,8,7,3,4,1,9,7,5,8,3
4/26/2021 15:37:04,10,7,3,4,6,8,2,1,5,7,3,1,7,2,3,2,6,5,9,10
4/26/2021 15:54:58,3,6,10,3,6,1,9,5,3,8,7,7,2,9,2,4,3,3,9,8
4/26/2021 15:55:52,3,6,2,8,10,2,4,5,9,10,1,5,4,8,9,1,3,7,9,10
4/26/2021 16:04:19,3,5,7,6,8,2,10,10,9,9,7,5,3,7,8,1,4,5,7,8
4/26/2021 16:04:48,5,6,6,8,9,1,10,5,6,8,9,1,1,2,3,3,4,5,5,7
4/28/2021 16:07:06,4,7,8,6,1,10,9,7,9,4,2,6,7,6,9,10,1,4,6,8
4/28/2021 21:50:37,5,7,4,9,4,1,6,2,8,4,7,3,6,2,9,3,9,4,2,1
4/29/2021 14:13:27,4,6,2,3,9,6,7,1,10,2,3,5,4,9,8,2,4,8,5,4
4/29/2021 14:13:45,3,8,5,3,10,2,2,6,2,9,2,8,1,7,4,2,1,4,10,7
4/29/2021 14:14:10,6,8,7,3,2,1,10,7,6,4,5,2,8,6,3,5,6,3,4,7
4/29/2021 14:14:46,3,6,1,10,9,7,8,3,4,5,1,9,7,5,6,3,2,4,7,9
4/29/2021 14:15:51,3,6,1,10,9,7,8,3,4,5,1,9,7,5,6,3,2,4,7,9
4/29/2021 15:56:22,1,2,7,9,4,6,8,4,5,7,2,9,6,6,4,3,2,1,5,9
05/03/2021 13:12,8,5,6,2,10,8,5,1,3,7,6,4,5,9,3,4,7,1,10,9
05/03/2021 13:34,4,9,7,9,3,4,10,1,9,5,9,6,2,4,10,8,7,2,1,9
05/03/2021 14:36,3,7,1,10,9,7,5,8,3,4,6,3,5,9,6,3,5,2,9,8
05/03/2021 14:50,6,10,9,5,6,1,4,7,8,6,9,2,10,4,9,1,6,5,8,9
05/03/2021 15:29,2,8,2,4,7,6,10,1,4,9,6,4,10,7,8,2,6,5,8,2
05/03/2021 15:30,10,2,7,4,5,9,3,5,2,8,6,5,10,8,1,3,9,3,1,9
05/03/2021 15:31,5,9,7,2,9,1,6,3,6,10,4,1,8,3,7,1,8,9,4,9
05/04/2021 11:40,5,4,8,5,9,3,6,4,8,6,6,7,7,4,8,4,7,7,7,3
